unique.ind,grid.id,detection,season,total.months,days.per.month,total.day.per.year,visit.reason,hunter (Yes/No),distance,signs,freq.sighting,year.obs,sighting.month,sighting.season,other.visit.grids,mean.elevation,median.elevation,village.number,river.length.sum,road.length.sum,slope.mean,presence.absence
1,1965,NO,1,1,3,3,hunting,Yes,1300,NA,NA,NA,NA,NA,1966,1736,1656,0,1886.495675,0,37.40577405,0
2,1966,NO,1,1,6,6,hunting,Yes,3280,NA,NA,NA,NA,NA,NA,1496,1438.5,1,5848.895627,0,31.60997143,0
3,1906,NO,1,3,3,9,trapping,Yes,7690,NA,NA,NA,NA,NA,1907;1908;1966,1758,1820,0,6191.906025,0,36.65115032,0
4,1746,YES,1,1,6,6,road_const,No,2870,nb,year,2023,2,1,1747,1495,1550,0,0,0,30.59178014,1
5,1804,YES,1,1,3,3,road_const,No,2370,nb,year,2023,2,1,1747,697,677.5,0,34014.29494,7587.681467,22.07620815,1
6,1748,YES,3,2,6,12,trapping,Yes,2000,ds,month,2023,1;2,1,1747,969,928,0,43166.06362,2889.612564,27.21311607,1
6,1804,YES,1,1,3,3,hunting,Yes,2370,ds,year,2023,2,1,1747,697,677.5,0,34014.29494,7587.681467,22.07620815,1
7,1748,YES,1,1,4,4,hunting,Yes,2510,nb,year,2023,2,1,1747,969,928,0,43166.06362,2889.612564,27.21311607,1
8,1747,YES,1,2,8,16,trapping,Yes,1570,nb,year,2023,2,1,NA,932,926,2,5730.812768,14635.68465,26.89863184,1
9,1749,YES,1,1,6,6,hunting,Yes,4790,nb,year,2023,2,1,1747;1748,1057,1074,0,3052.760824,0,25.36680289,1
10,1804,YES,1,3,20,60,trapping,Yes,2000,nb,year,2023,2,1,1747,697,677.5,0,34014.29494,7587.681467,22.07620815,1
11,1747,YES,1,4,8,32,trapping,Yes,1520,ds,NA,2023,NA,NA,NA,932,926,2,5730.812768,14635.68465,26.89863184,1
11,1804,YES,1,4,8,32,trapping,Yes,1860,nb,year,2023,NA,NA,1747,697,677.5,0,34014.29494,7587.681467,22.07620815,1
12,1747,YES,2,3,10,30,rice,No,1330,nb,NA,2023,NA,NA,NA,932,926,2,5730.812768,14635.68465,26.89863184,1
13,1748,YES,2,1,15,15,jhum,No,2980,ds,NA,2023,5,2,1747,969,928,0,43166.06362,2889.612564,27.21311607,1
13,1804,YES,2,2,7,14,jhum,No,2410,ob,year,2023,NA,NA,1747,697,677.5,0,34014.29494,7587.681467,22.07620815,1
14,1747,NO,1,2,5,10,hunting,Yes,200,NA,NA,NA,NA,NA,NA,932,926,2,5730.812768,14635.68465,26.89863184,0
14,1804,YES,1,3,7,21,trapping,Yes,3000,nb,NA,2023,2,1,1747,697,677.5,0,34014.29494,7587.681467,22.07620815,1
